Sample#,Target,Weight before[g],Weight After[g],Weight Loss[g],%Weight Loss,Thickness Before [mm],Thickness After[mm] ,Thickness Loss[mm],% Thickness Loss,Time(hrs),Surface Area[L*W]
1,A,75,72.92,2.08,2.773333333,6.2,5.99,0.21,3.387096774,1,2.25
2,A,74.37,72.14,2.23,2.998520909,6.25,6.01,0.24,3.84,1,2.25
3,A,66.7,64.56,2.14,3.208395802,6.12,5.97,0.15,2.450980392,1,2.25
4,A,67.68,64.83,2.85,4.210992908,6.08,5.94,0.14,2.302631579,1,2.25
5,A,64.51,62.35,2.16,3.34831809,6.14,5.93,0.21,3.42019544,1,2.25
6,A,68.56,66.44,2.12,3.09218203,5.99,5.86,0.13,2.170283806,1,2.25
7,A,64.81,62.4,2.41,3.71856195,6.02,5.89,0.13,2.159468439,1,2.25
8,A,63.35,61.52,1.83,2.888713496,6,5.89,0.11,1.833333333,1,2.25
9,A,66.75,64.91,1.84,2.756554307,6.08,5.94,0.14,2.302631579,1,2.25
10,A,67.42,65.73,1.69,2.506674577,6.03,5.9,0.13,2.155887231,1,2.25
11,A,66.39,64.96,1.43,2.153938846,6.02,5.88,0.14,2.325581395,1,2.25
12,A,65.04,63.59,1.45,2.229397294,6.01,5.87,0.14,2.329450915,1,2.25
13,B,75,70.81,4.19,5.586666667,6.2,5.88,0.32,5.161290323,2,2.25
14,B,74.37,69.65,4.72,6.346645153,6.25,5.89,0.36,5.76,2,2.25
15,B,66.7,61.94,4.76,7.136431784,6.12,5.82,0.3,4.901960784,2,2.25
16,B,67.68,62.63,5.05,7.461583924,6.08,5.78,0.3,4.934210526,2,2.25
17,B,64.51,60.15,4.36,6.758642071,6.14,5.8,0.34,5.537459283,2,2.25
18,B,68.56,64.31,4.25,6.198949825,5.99,5.74,0.25,4.173622705,2,2.25
19,B,64.81,60.68,4.13,6.372473384,6.02,5.75,0.27,4.485049834,2,2.25
20,B,63.35,59.75,3.6,5.682715075,6,5.77,0.23,3.833333333,2,2.25
21,B,66.75,62.57,4.18,6.262172285,6.08,5.79,0.29,4.769736842,2,2.25
22,B,67.42,63.17,4.25,6.303767428,6.03,5.76,0.27,4.47761194,2,2.25
23,B,66.39,62.97,3.42,5.15137822,6.02,5.75,0.27,4.485049834,2,2.25
24,B,65.04,61.73,3.31,5.089175892,6.01,5.74,0.27,4.492512479,2,2.25
25,C,75,66.78,8.22,10.96,6.2,5.68,0.52,8.387096774,3,2.25
26,C,74.37,67.12,7.25,9.748554525,6.25,5.71,0.54,8.64,3,2.25
27,C,66.7,59.79,6.91,10.35982009,6.12,5.74,0.38,6.209150327,3,2.25
28,C,67.68,60.34,7.34,10.84515366,6.08,5.61,0.47,7.730263158,3,2.25
29,C,64.51,58.01,6.5,10.07595722,6.14,5.71,0.43,7.003257329,3,2.25
30,C,68.56,62.19,6.37,9.291131855,5.99,5.62,0.37,6.176961603,3,2.25
31,C,64.81,57.97,6.84,10.55392686,6.02,5.59,0.43,7.142857143,3,2.25
32,C,63.35,57.44,5.91,9.329123915,6,5.65,0.35,5.833333333,3,2.25
33,C,66.75,60.35,6.4,9.588014981,6.08,5.67,0.41,6.743421053,3,2.25
34,C,67.42,61.5,5.92,8.780777217,6.03,5.63,0.4,6.633499171,3,2.25
35,C,66.39,61.08,5.31,7.998192499,6.02,5.61,0.41,6.810631229,3,2.25
36,C,65.04,59.87,5.17,7.94895449,6.01,5.6,0.41,6.821963394,3,2.25
37,D,75,65.55,9.45,12.6,6.2,5.38,0.82,13.22580645,4,2.25
38,D,74.37,64.83,9.54,12.82775313,6.25,5.45,0.8,12.8,4,2.25
39,D,66.7,57.48,9.22,13.82308846,6.12,5.54,0.58,9.477124183,4,2.25
40,D,67.68,58.15,9.53,14.08096927,6.08,5.44,0.64,10.52631579,4,2.25
41,D,64.51,55.63,8.88,13.7653077,6.14,5.63,0.51,8.306188925,4,2.25
42,D,68.56,59.8,8.76,12.77712952,5.99,5.53,0.46,7.679465776,4,2.25
43,D,64.81,55.09,9.72,14.99768554,6.02,5.41,0.61,10.13289037,4,2.25
44,D,63.35,55.49,7.86,12.40726125,6,5.53,0.47,7.833333333,4,2.25
45,D,66.75,58.51,8.24,12.34456929,6.08,5.58,0.5,8.223684211,4,2.25
46,D,67.42,59.91,7.51,11.13912786,6.03,5.52,0.51,8.457711443,4,2.25
47,D,66.39,58.35,8.04,12.11025757,6.02,5.49,0.53,8.803986711,4,2.25
48,D,65.04,57.93,7.11,10.93173432,6.01,5.48,0.53,8.818635607,4,2.25
